"CRN","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_HLMT_TYPE","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PASSNGR_IND","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_HLMT_TYPE","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_TRAIL_IND","PC_HDLGHT_IND","PC_HLMT_IND","PC_PASSNGR_IND","PC_REAR_RFLTR_IND","UNIT_NUM"
"2022004355","N","N","U","U","N","N","0","Y","Y","01200","N","","","","","","","","N","","","","","1"
"2021034191","N","Y","U","Y","U","Y","1","Y","Y","00000","N","","","","","","","","N","","","","","1"
"2021046613","U","U","Y","Y","N","N","0","Y","N","02384","N","","","","","","","","N","","","","","1"
"2021075206","Y","Y","U","Y","U","Y","1","Y","N","00500","N","","","","","","","","N","","","","","1"
"2021056283","N","U","U","U","U","U","9","U","U","01200","N","","","","","","","","N","","","","","1"
"2021080965","N","N","U","Y","Y","Y","1","Y","N","00300","N","","","","","","","","N","","","","","2"
"2021091257","Y","U","U","Y","Y","U","3","U","U","01337","N","","","","","","","","N","","","","","2"
"2021059391","N","Y","U","Y","U","Y","1","Y","N","00650","N","","","","","","","","N","","","","","1"
"2021079770","N","Y","Y","Y","Y","Y","1","N","N","01679","N","","","","","","","","N","","","","","1"
"2021089783","","","","","","","","","","","","","","","","","","","","N","U","N","U","2"
"2021112195","Y","N","U","Y","N","N","0","Y","N","00748","N","","","","","","","","N","","","","","1"
"2021082752","N","N","U","Y","Y","N","1","Y","Y","00898","N","","","","","","","","N","","","","","1"
"2021095349","Y","Y","U","Y","Y","Y","1","Y","Y","01450","N","","","","","","","","N","","","","","2"
"2021035294","N","U","U","N","U","Y","1","U","U","00400","N","","","","","","","","N","","","","","1"
"2021023119","Y","U","N","Y","U","U","3","Y","N","01450","N","","","","","","","","N","","","","","1"
"2021051349","N","N","U","Y","U","Y","1","Y","N","00649","N","","","","","","","","N","","","","","1"
"2021044141","N","Y","Y","Y","Y","Y","3","Y","Y","08842","N","","","","","","","","N","","","","","2"
"2021038122","Y","Y","Y","Y","Y","Y","2","Y","U","01746","Y","Y","Y","Y","Y","2","Y","U","N","","","","","2"
"2021075212","Y","U","U","U","U","N","0","Y","N","01917","N","","","","","","","","N","","","","","2"
"2021075425","N","N","U","N","N","N","0","Y","N","00600","N","","","","","","","","N","","","","","1"
"2021087858","Y","Y","N","Y","N","N","0","U","U","00649","N","","","","","","","","N","","","","","1"
"2021086458","Y","N","U","Y","N","N","0","Y","N","01688","N","","","","","","","","N","","","","","2"
"2021034367","N","N","N","Y","Y","Y","1","Y","Y","00695","N","","","","","","","","N","","","","","1"
"2021088444","N","U","U","U","Y","Y","1","Y","U","01800","Y","U","U","Y","Y","1","Y","U","N","","","","","1"
"2021126611","Y","U","Y","N","N","N","0","Y","Y","01745","N","","","","","","","","N","","","","","1"
"2021071444","N","U","U","U","U","U","1","Y","U","00600","N","","","","","","","","N","","","","","2"
"2021107564","N","Y","Y","Y","Y","Y","1","Y","Y","01200","N","","","","","","","","N","","","","","1"
"2021072626","N","N","Y","Y","Y","Y","3","Y","N","00850","N","","","","","","","","N","","","","","1"
"2021048236","Y","U","U","Y","Y","Y","2","Y","U","12000","N","","","","","","","","N","","","","","1"
"2021028477","N","Y","Y","U","Y","Y","1","Y","Y","00600","N","","","","","","","","N","","","","","2"
"2021028552","N","U","U","U","U","Y","1","Y","U","00600","U","","","","","","","","N","","","","","1"
"2021068431","Y","N","Y","Y","U","Y","3","Y","U","00883","N","","","","","","","","N","","","","","1"
"2021068989","N","U","U","Y","N","N","0","Y","U","01200","U","","","","","","","","N","","","","","1"
"2021056976","Y","Y","U","Y","Y","U","1","Y","Y","01700","N","","","","","","","","N","","","","","1"
"2021065172","Y","U","U","Y","N","N","0","Y","N","01584","N","","","","","","","","N","","","","","1"
"2021078254","Y","N","N","N","N","N","0","Y","N","01449","N","","","","","","","","N","","","","","1"
"2021052471","Y","U","U","U","U","U","9","Y","N","99999","N","","","","","","","","N","","","","","2"
